name	messageID	nextMessage	message	triggerID	option0	option0next	option1	option1next	option2	option2next
$friendA	1	-1	What are you up to? You busy?	-9999	Busy	2	Crying	3	Not Busy	4
$player	2	5	I'm busy	-9999						
$player	3	6	I'm crying.	-9999						
$player	4	7	I'm not busy	-9999						
$friendA	5	-777	"Okay then, bye! See ya."	-9999						
$player	6	5	I'm sad because of the boy.	1						
$player	7	8	Why?	-9999						
$friendA	8	-1	Want to hang?	-9999	Yes	9	No	10		
$player	9	5	Sure	-9999						
$player	10	5	No.	-9999						
